"","Rank","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"290",NA,"Tulsa, OK, United States",62.35,28.92,46.68,58.89,60.48,132.05
"291",NA,"Naples, Italy",62.35,21.37,43.14,53.19,59.26,56.2
"292",NA,"Memphis, TN, United States",62.29,34.91,49.45,NA,69.54,109.95
"293",NA,"Bremen, Germany",62.24,23.82,44.23,NA,NA,77.06
"294",NA,"Akron, OH, United States",62.2,22.9,43.78,63.55,NA,102.89
"295",NA,"Kingston upon Hull, United Kingdom",62.07,21.79,43.19,NA,63.89,86.57
"296",NA,"Aachen, Germany",61.81,21.74,43.03,NA,57.99,116.48
"297",NA,"Kaohsiung, Taiwan",61.4,15.91,NA,75.57,28.88,55.49
"298",NA,"Regensburg, Germany",61.36,27.54,45.51,47.29,61.66,103.28
"299",NA,"Barcelona, Spain",61.15,30.6,46.83,49.39,61.89,70.83
"300",NA,"Little Rock, AR, United States",59.26,25.6,43.48,57.28,64.63,131.07
"301",NA,"Port of Spain, Trinidad And Tobago",NA,NA,40.46,51.98,73.56,40.68
"302",NA,"Madrid, Spain",59.01,31.95,NA,49.14,NA,74.83
"303",NA,"Palma de Mallorca, Spain",58.97,28.92,44.88,48.41,61.53,63.24
"304",NA,"Athens, Greece",58.97,17.92,39.73,46.99,60.78,40.03
"305",NA,"Wichita, KS, United States",58.92,24.26,42.67,53.08,57.42,NA
"306",NA,"Patras, Greece",58.74,10.18,35.98,43.05,43.7,37.37
"307",NA,"Thessaloniki, Greece",58.4,13.6,NA,43.85,55.28,37.91
"308",NA,"Palermo, Italy",57.97,14.72,NA,49.5,52.07,58.89
"309",NA,"Abu Dhabi, United Arab Emirates",57.89,91.8,73.79,49.79,58.49,75.22
"310",NA,"Larnaca, Cyprus",57.38,19.76,39.74,47.83,55.84,NA
"311",NA,"Catania, Italy",57.35,NA,38.68,44.63,61.39,54.62
"312",NA,"Male, Maldives",57.26,29.87,NA,NA,33.01,28.52
"313",NA,"Ljubljana, Slovenia",NA,23.5,41.4,49.44,52.01,60.19
"314",NA,"Heraklion, Greece",57.08,15.25,37.47,NA,NA,36.04
"315",NA,"El Paso, TX, United States",55.92,23.17,40.56,54.45,48.18,118.77
"316",NA,"Havana, Cuba",55.91,17.2,37.77,45.92,40.14,NA
"317",NA,"Tallinn, Estonia",NA,19.24,38.63,42.71,58.55,64.89
"318",NA,"Zaragoza (Saragossa), Spain",54.8,NA,37.56,NA,NA,69.32
"319",NA,NA,54.54,26.23,41.27,55.82,47.98,32.31
"320",NA,"Manama, Bahrain",54.3,28.18,42.06,42.9,50.3,NA
"321",NA,"Shanghai, China",53.9,44.47,49.48,57.06,42.55,53
"322",NA,"Riyadh, Saudi Arabia",53.85,16.29,36.24,43.62,43.19,92.73
"323",NA,"Tartu, Estonia",53.79,NA,35.68,45.81,54.85,60.53
"324",NA,"Vigo, Spain",NA,17.42,36.55,43.92,55.09,74.98
"325",NA,NA,53.28,20.95,38.13,49.6,47.29,71.04
"326",NA,NA,52.97,22.45,NA,45.34,55.18,70.04
"327",NA,"Paphos, Cyprus",52.86,16.35,35.74,43.42,52.53,61.21
"328",NA,"Makati, Philippines",52.72,28.6,41.41,57.92,29.33,20.57
"329",NA,"Ajman, United Arab Emirates",52.58,27.92,41.02,38.45,59.57,48.26
"330",NA,"Jeddah (Jiddah), Saudi Arabia",52.57,11.1,33.13,43.47,36.65,76.08
"331",NA,"Malaga, Spain",52.52,26.1,40.14,44.09,51.62,65.84
"332",NA,"Amman, Jordan",NA,10.63,32.7,41.65,48.02,29.51
"333",NA,"Granada, Spain",52.03,16.04,35.16,44.53,46.02,81.61
"334",NA,NA,52,15.11,34.71,43.85,47.54,NA
"335",NA,"Prague, Czech Republic",51.78,26.02,39.7,45.19,42.51,71.96
"336",NA,"Murcia, Spain",NA,16.05,NA,44.19,51.54,NA
"337",NA,"Lisbon, Portugal",NA,31.39,42.18,40.29,NA,48.26
